short_name,nationality_name,pace,shooting,passing,dribbling,defending,attacking_crossing,attacking_finishing,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_reflexes,goalkeeping_speed
S. Handanovič,Slovenia,,,,,,12,10,40,21,45,47,49,10,13,81,81,87,47
M. Hummels,Germany,56,59,77,73,89,65,57,86,79,47,61,71,90,86,15,6,6,
Jordi Alba,Spain,86,69,81,83,77,85,73,79,85,87,90,64,78,80,13,15,13,
Thiago,Spain,63,72,86,90,70,78,68,89,92,72,91,75,71,68,6,11,13,
Sergio Busquets,Spain,42,62,79,80,82,62,67,85,86,40,67,61,82,81,5,8,13,
Parejo,Spain,50,83,90,81,71,86,83,90,86,52,63,81,70,69,5,9,8,
K. Casteels,Belgium,,,,,,15,15,37,23,44,50,60,19,17,85,83,87,45
L. Insigne,Italy,87,78,85,90,36,77,76,84,93,90,89,76,24,22,8,4,10,
K. Koulibaly,Senegal,81,28,51,65,87,30,22,63,64,74,51,55,88,86,7,11,5,
R. Varane,France,82,49,64,65,87,42,46,76,78,79,62,52,88,87,11,11,14,
R. Mahrez,Algeria,81,79,81,90,38,81,81,75,91,84,92,79,31,22,15,9,6,
Gerard Moreno,Spain,79,86,77,84,46,77,89,75,85,80,77,83,41,41,15,12,10,
J. Vardy,England,85,84,70,80,52,69,90,60,82,85,76,87,52,54,15,14,11,
Fabinho,Brazil,67,69,78,78,85,75,63,82,81,65,64,81,87,85,13,12,8,
João Cancelo,Portugal,85,71,83,84,80,86,68,78,85,86,80,80,82,80,6,9,14,
A. Laporte,Spain,63,50,72,69,86,58,45,80,78,59,57,68,87,86,10,11,5,
K. Coman,France,93,76,79,88,30,79,75,74,88,94,91,80,27,21,5,3,5,
Bernardo Silva,Portugal,80,76,83,91,54,85,77,76,90,83,94,76,63,45,9,10,9,
Marcos Llorente,Spain,88,80,81,82,78,74,81,83,84,86,82,84,80,74,13,6,15,
Rodri,Spain,61,70,77,78,82,63,64,83,82,60,65,83,84,78,10,10,8,
M. Škriniar,Slovakia,80,41,53,69,87,40,42,49,72,76,54,50,88,82,10,13,12,
A. Gómez,Argentina,87,78,84,87,39,83,77,80,86,91,93,79,30,34,8,11,6,
K. Schmeichel,Denmark,,,,,,18,12,46,40,45,61,60,14,13,84,78,90,47
Thiago Silva,Brazil,53,54,72,72,86,60,40,80,79,52,67,71,86,84,9,12,10,
David Silva,Spain,63,74,87,87,52,83,72,83,90,70,84,72,53,29,6,15,12,
Y. Sommer,Switzerland,,,,,,13,13,31,25,48,55,63,19,12,79,81,86,50
E. Cavani,Uruguay,66,86,70,76,51,68,89,52,81,64,68,87,48,39,12,5,10,
E. Hazard,Belgium,84,80,82,88,35,77,78,81,88,86,87,82,27,22,11,12,8,
L. Bonucci,Italy,64,58,69,72,86,44,48,81,79,60,59,74,85,81,2,2,4,
P. Gulácsi,Hungary,,,,,,16,10,31,25,42,41,57,16,20,85,84,86,43
İ. Gündoğan,Germany,65,80,85,86,73,78,80,85,89,66,77,79,75,67,11,14,13,
M. Reus,Germany,73,84,84,85,47,85,84,79,86,76,83,86,38,54,12,12,11,
K. Walker,England,92,63,76,78,80,77,51,77,81,89,66,86,84,83,12,6,8,
P. Aubameyang,Gabon,89,85,75,80,35,76,89,64,81,87,77,82,29,36,6,9,9,
Koke,Spain,70,75,85,81,79,85,72,84,83,72,73,83,81,70,14,12,13,
A. Griezmann,France,80,84,84,87,52,83,84,82,89,80,92,82,54,49,14,8,14,
S. de Vrij,Netherlands,72,41,64,70,87,49,25,71,75,69,61,65,87,85,8,10,13,
Roberto Firmino,Brazil,77,78,79,89,59,73,78,76,90,77,85,79,64,42,8,11,10,
M. Depay,Netherlands,82,83,82,84,30,84,83,76,85,81,80,87,31,20,8,14,10,
Carvajal,Spain,80,54,78,80,81,82,51,74,83,79,79,68,82,84,13,13,15,
Jorginho,Italy,55,67,86,81,73,75,64,89,87,61,77,71,81,71,14,7,8,
S. Gnabry,Germany,83,84,79,86,43,74,86,78,83,90,87,87,44,43,14,10,7,
S. Milinković-Savić,Serbia,68,79,80,81,79,64,80,85,86,66,62,83,79,74,7,10,7,
W. Ndidi,Nigeria,67,62,69,74,87,53,50,75,77,65,69,80,90,85,13,14,13,
Oyarzabal,Spain,82,82,81,84,41,82,84,73,85,83,83,80,32,30,10,6,11,
L. Martínez,Argentina,84,81,72,85,48,56,85,73,85,86,86,80,31,44,11,8,13,
M. Rashford,England,90,84,79,84,43,80,83,71,84,86,84,92,38,33,11,6,14,
A. Hakimi,Morocco,95,71,78,83,76,86,73,73,83,95,86,77,78,76,10,8,8,
M. de Ligt,Netherlands,73,59,60,69,84,52,50,63,73,71,60,82,85,85,12,11,10,
Z. Ibrahimović,Sweden,65,87,78,79,34,72,86,73,86,64,71,88,37,24,13,15,12,
Jesús Navas,Spain,87,69,81,83,79,85,65,79,83,90,82,74,77,79,10,10,13,
Piqué,Spain,58,61,71,68,85,57,65,80,80,50,57,62,85,83,10,11,8,
D. Mertens,Belgium,85,82,80,88,34,73,84,72,88,90,93,80,40,40,7,10,4,
G. Wijnaldum,Netherlands,77,75,80,86,79,72,75,81,88,78,84,78,80,70,16,6,6,
J. Henderson,England,66,74,83,79,78,82,73,87,83,67,69,77,81,76,7,13,13,
Fernando,Brazil,66,62,75,74,83,62,54,79,78,65,70,76,85,83,7,5,5,
K. Trippier,England,73,63,82,77,80,86,54,80,82,74,73,75,81,80,11,14,10,
Iago Aspas,Spain,82,85,79,86,35,80,89,73,86,78,90,79,21,18,12,16,13,
De Gea,Spain,,,,,,17,13,43,38,57,63,57,21,13,86,79,87,57
D. Alaba,Austria,77,70,81,80,83,80,60,80,84,78,76,82,83,82,5,7,9,
Luis Alberto,Spain,60,76,86,84,57,69,77,90,91,61,69,78,58,52,6,8,11,
D. Tadić,Serbia,69,81,85,85,43,86,83,80,87,67,76,79,34,26,11,11,16,
W. Ben Yedder,France,82,84,77,87,39,74,88,66,87,83,91,84,33,26,6,13,7,
L. Digne,France,79,69,80,80,80,88,60,73,84,81,74,83,83,84,6,12,13,
J. Iličić,Slovenia,75,86,84,86,40,82,85,77,88,76,83,88,32,26,13,13,6,
E. Martínez,Argentina,,,,,,22,16,51,35,59,49,62,20,20,85,83,85,58
H. Maguire,England,50,55,69,70,85,51,48,84,76,47,50,75,83,78,14,16,9,
S. Savić,Montenegro,64,35,57,58,87,35,34,72,67,60,59,43,86,83,14,13,12,
M. Sabitzer,Austria,78,84,81,80,67,74,81,81,82,75,75,88,70,59,11,13,13,
L. Shaw,England,79,54,79,80,81,85,44,69,82,76,75,70,83,79,10,12,7,
J. Grealish,England,80,76,83,88,46,81,77,82,88,81,85,76,49,43,11,6,13,
M. Ginter,Germany,62,58,72,66,86,68,55,78,75,54,55,74,89,79,12,10,10,
Felipe,Brazil,61,41,58,62,85,45,39,69,64,55,66,46,85,82,9,11,7,
Y. Carrasco,Belgium,88,81,78,85,45,81,81,73,85,89,87,85,47,35,9,11,10,
F. Kostić,Serbia,88,77,82,83,68,91,75,75,82,89,76,85,72,68,13,14,13,
H. Ziyech,Morocco,78,76,87,83,50,88,73,89,85,79,85,83,56,40,11,7,14,
R. Guerreiro,Portugal,75,77,85,88,76,84,77,82,87,84,88,79,79,78,12,6,8,
Ricardo Pereira,Portugal,83,67,78,82,80,82,66,77,83,82,79,74,84,83,16,12,11,
T. Werner,Germany,91,81,70,82,35,69,81,55,84,93,82,85,20,19,9,9,9,
M. Maignan,France,,,,,,18,15,46,40,49,39,64,16,19,83,81,86,50
M. Brozović,Croatia,69,74,80,79,79,72,69,84,84,70,79,80,81,80,8,8,8,
Y. Tielemans,Belgium,63,79,86,80,71,82,74,88,85,67,67,87,73,69,6,8,12,
J. Giménez,Uruguay,69,45,57,59,86,47,37,67,66,70,52,72,87,86,9,11,15,
N. Fekir,France,83,83,82,87,38,79,83,78,87,88,82,84,42,30,15,9,15,
L. Sané,Germany,90,81,79,85,38,83,81,64,84,91,84,87,32,35,8,12,14,
N. Barella,Italy,78,71,79,86,75,69,69,79,87,80,91,69,75,79,11,5,11,
M. Acuña,Argentina,76,74,82,87,79,87,66,78,88,77,83,82,84,82,8,14,14,
André Silva,Portugal,74,84,69,83,45,60,87,63,85,77,77,83,40,21,14,13,8,
F. Kessié,Côte d'Ivoire,78,74,74,80,82,66,67,75,84,76,72,84,84,78,9,11,10,
T. Hernández,France,93,71,76,81,77,84,68,68,79,92,78,80,79,80,12,10,7,
K. Havertz,Germany,82,78,79,84,45,72,81,78,85,77,78,74,46,38,6,8,12,
P. Foden,England,84,78,80,87,56,75,79,78,88,86,90,82,59,47,8,15,13,
Fernandinho,Brazil,59,72,75,78,84,68,66,81,81,67,69,83,85,80,12,11,7,
C. Vela,Mexico,80,82,78,84,31,78,85,66,85,81,80,76,22,14,8,14,10,
A. Witsel,Belgium,61,72,81,79,82,69,71,83,81,60,71,75,80,80,5,7,7,
Sergio Asenjo,Spain,,,,,,24,14,39,14,59,62,59,15,14,85,83,83,57
S. Kjær,Denmark,67,55,64,59,85,50,55,72,70,63,57,78,85,81,6,10,15,
E. Džeko,Bosnia and Herzegovina,66,83,72,78,45,63,85,78,86,64,62,86,28,16,9,11,15,
J. Boateng,Germany,72,50,73,67,84,69,34,83,71,63,55,78,84,84,7,12,5,
T. Alderweireld,Belgium,58,55,70,67,86,64,45,81,75,55,54,78,87,84,16,6,14,
Azpilicueta,Spain,66,55,76,72,84,80,46,80,77,69,67,68,85,84,13,9,5,
Paulinho,Brazil,72,81,77,81,80,67,83,76,83,73,72,83,79,75,16,16,8,
Muniain,Spain,81,76,82,87,51,81,79,74,87,84,91,72,55,38,10,5,12,
Canales,Spain,83,80,85,82,67,81,79,87,83,85,83,78,71,58,15,12,12,
L. Hrádecký,Finland,,,,,,11,11,33,20,38,43,52,10,13,85,78,87,40
Alex Sandro,Brazil,81,65,77,79,78,84,55,71,80,78,78,78,80,80,7,7,5,
B. Leno,Germany,,,,,,9,9,48,35,55,52,57,15,18,85,80,85,55
K. Manolas,Greece,81,25,44,62,85,27,25,61,66,77,70,40,85,87,8,6,12,
H. Mkhitaryan,Armenia,85,80,79,83,56,77,80,71,83,86,84,84,53,55,5,11,7,
J. Cuadrado,Colombia,90,75,77,87,76,84,70,69,85,91,94,84,80,83,5,5,9,
J. Matip,Cameroon,58,46,68,68,85,54,36,74,72,50,51,66,86,81,11,15,10,
S. Coates,Uruguay,68,49,55,63,84,17,55,72,70,65,37,50,86,85,16,13,13,
F. Acerbi,Italy,63,50,62,64,86,25,37,79,72,64,32,75,87,85,11,9,11,
Allan,Brazil,72,71,77,82,80,72,73,80,82,77,78,73,87,82,13,13,8,
K. Volland,Germany,73,85,79,80,42,78,86,74,80,76,75,87,50,33,8,7,12,
Morata,Spain,82,80,72,81,31,72,84,60,83,79,72,80,14,20,4,5,5,
M. Icardi,Argentina,69,83,65,77,36,47,87,54,80,70,68,85,24,20,13,9,9,
L. Spinazzola,Italy,92,64,73,80,78,84,60,64,80,94,80,68,77,75,11,13,14,
J. Stones,England,70,51,71,74,84,62,52,75,83,67,61,55,85,82,7,15,8,
N. Pope,England,,,,,,11,14,35,24,50,36,56,15,14,81,83,84,49
R. Jiménez,Mexico,72,82,76,81,47,73,84,75,82,63,75,84,38,30,7,11,10,
J. Pickford,England,,,,,,17,19,56,40,53,55,65,20,12,83,78,86,49
A. Rüdiger,Germany,75,43,68,64,84,68,32,73,69,64,56,72,86,82,14,15,8,
L. Ocampos,Argentina,81,84,78,83,63,79,86,72,84,80,79,84,61,55,11,8,7,
M. Kovačić,Croatia,70,69,83,88,69,73,61,82,89,77,87,79,73,66,9,5,7,
T. Partey,Ghana,69,71,82,81,80,74,66,85,83,63,75,86,84,80,11,13,7,
Gayà,Spain,83,61,77,80,79,80,61,75,82,81,82,62,82,84,13,10,9,
T. Lemar,France,82,76,82,86,59,83,75,76,86,84,88,79,59,63,11,15,14,
P. Højbjerg,Denmark,60,71,76,76,81,66,65,80,80,58,65,84,84,72,9,7,11,
Á. Correa,Argentina,85,83,78,87,49,75,85,66,87,86,90,83,53,44,13,10,16,
D. Zapata,Colombia,80,81,61,78,35,44,88,47,82,78,67,86,24,22,9,9,8,
A. Kramarić,Croatia,71,86,76,86,30,76,87,63,86,76,84,84,20,26,8,14,15,
Angeliño,Spain,78,71,82,84,76,88,70,81,84,85,83,80,74,80,13,6,13,
L. Hernández,France,77,54,68,71,84,78,53,63,76,77,70,62,85,86,10,7,10,
Marco Asensio,Spain,82,80,81,83,43,81,77,80,86,83,80,86,42,39,13,9,10,
W. Weghorst,Netherlands,63,83,59,70,52,42,87,43,79,59,62,86,67,30,11,9,12,
R. Gosens,Germany,82,75,74,79,77,82,79,77,82,79,71,76,78,79,7,16,10,
Merino,Spain,74,78,81,82,82,77,79,82,84,73,76,84,84,76,9,12,14,
P. Kimpembe,France,81,42,68,70,83,59,31,75,78,80,69,70,86,84,7,8,9,
F. Mendy,France,92,64,76,79,78,78,63,78,78,91,81,69,81,80,7,16,9,
A. Wan-Bissaka,England,85,52,69,79,81,73,46,58,76,82,84,70,87,92,9,8,8,
Ronaldo Cabrais,Brazil,88,77,83,84,35,83,74,82,83,90,86,82,35,33,12,12,13,
Arthur,Brazil,69,67,83,88,72,79,59,85,90,71,85,76,73,71,6,13,12,
Gabriel Jesus,Brazil,84,81,72,86,39,66,84,66,86,87,91,82,30,28,13,8,15,
O. Dembélé,France,93,77,77,86,36,81,75,76,84,94,89,83,30,33,6,6,13,
M. Mount,England,74,79,84,83,55,82,79,83,85,77,80,81,57,41,11,12,12,
É. Mendy,Senegal,,,,,,10,5,46,31,36,48,59,11,13,83,82,84,35
F. Chiesa,Italy,91,81,74,85,48,73,79,72,82,91,87,86,44,44,6,7,7,
F. Valverde,Uruguay,86,74,78,79,77,66,69,84,82,82,76,80,80,76,6,10,8,
J. Koundé,France,81,45,64,72,84,45,47,75,74,81,71,48,85,83,11,10,13,
João Félix,Portugal,82,79,76,86,40,73,79,67,87,81,86,80,42,35,13,12,14,
Pepe,Portugal,80,51,60,61,82,46,46,75,60,79,62,63,82,81,8,15,10,
Raúl Albiol,Spain,40,41,62,63,86,38,27,72,71,48,49,65,87,85,8,6,8,
Ł. Fabiański,Poland,,,,,,14,13,32,22,50,53,53,12,13,82,82,82,49
S. Sirigu,Italy,,,,,,13,10,28,18,46,52,57,11,13,82,77,80,46
I. Rakitić,Croatia,57,79,85,78,75,84,77,86,82,59,69,84,77,72,14,11,9,
G. Bale,Wales,82,84,82,80,55,86,82,79,83,80,78,90,53,50,15,15,6,
Rui Patrício,Portugal,,,,,,12,12,32,25,53,61,58,13,11,82,80,83,55
É. Banega,Argentina,62,75,84,82,76,80,71,87,84,63,76,77,77,74,13,8,10,
M. Pjanić,Bosnia and Herzegovina,65,68,83,81,75,80,56,82,83,67,74,78,77,71,7,7,8,
Yuri Berchiche,Spain,83,68,76,76,79,83,61,72,79,81,80,82,80,76,12,13,11,
L. Stindl,Germany,61,84,81,81,60,74,84,79,84,63,70,85,62,55,7,10,12,
Oscar,Brazil,78,79,82,82,59,81,78,84,83,82,87,80,59,55,12,10,12,
K. Trapp,Germany,,,,,,13,13,12,24,45,42,59,14,10,82,78,84,48
Coutinho,Brazil,69,79,80,88,52,78,75,77,89,74,89,82,54,47,12,7,6,
C. Eriksen,Denmark,62,78,88,81,53,86,73,90,90,63,72,84,57,22,9,14,6,
D. Blind,Netherlands,45,64,82,79,83,80,60,85,84,48,72,74,84,80,12,9,10,
M. Götze,Germany,68,75,83,84,55,82,75,82,88,69,76,75,42,53,14,7,10,
A. Areola,France,,,,,,20,19,37,22,56,58,57,18,12,85,79,85,55
J. Corona,Mexico,83,67,79,85,74,79,66,71,84,86,91,66,74,72,11,6,9,
A. Lacazette,France,75,82,74,82,44,68,83,70,82,77,81,87,45,32,11,6,6,
I. Gueye,Senegal,69,62,71,78,83,60,54,76,79,70,79,80,87,83,8,6,13,
Mário Fernandes,Russia,82,61,74,78,79,75,56,71,79,79,79,71,81,83,12,13,12,
O. Baumann,Germany,,,,,,14,11,25,17,47,45,59,18,14,81,80,82,49
Neto,Brazil,,,,,,11,15,41,24,56,59,59,14,15,83,79,81,54
Isco,Spain,66,75,80,88,59,78,76,80,90,70,81,69,64,51,10,8,6,
W. Zaha,Côte d'Ivoire,89,77,73,87,34,76,78,65,86,88,87,82,34,32,15,10,10,
L. Muriel,Colombia,89,83,74,86,27,71,84,55,83,87,85,81,24,22,8,10,6,
A. Lopes,Portugal,,,,,,19,18,31,21,63,67,53,15,13,84,78,86,63
Campaña,Spain,68,74,83,82,71,81,73,82,85,70,74,76,75,62,8,11,10,
Gabriel Paulista,Brazil,67,49,71,65,84,67,42,74,69,68,66,61,83,82,15,6,7,
J. Veretout,France,77,75,77,79,77,69,69,80,82,84,76,83,81,77,9,10,9,
Suso,Spain,76,76,82,85,32,84,72,75,88,78,80,78,23,18,15,15,9,
T. Hazard,Belgium,80,76,80,85,52,81,74,72,84,84,91,77,46,48,6,9,8,
Juan Bernat,Spain,82,65,78,82,76,83,65,73,82,82,86,67,81,78,8,9,16,
Portu,Spain,90,78,77,79,59,78,81,76,80,89,83,82,61,59,14,10,13,
H. Çalhanoğlu,Turkey,67,78,84,85,59,81,75,83,88,72,83,80,56,56,9,14,10,
E. Can,Germany,78,78,78,80,84,69,76,83,79,67,72,85,87,86,14,8,11,
Saúl,Spain,71,78,78,79,78,69,76,82,82,69,73,82,78,77,7,13,9,
M. de Roon,Netherlands,66,68,71,73,82,68,60,75,76,64,61,76,84,81,14,15,12,
Y. Bounou,Morocco,,,,,,15,14,44,12,37,47,57,18,15,82,79,84,36
Grimaldo,Spain,87,65,81,83,74,82,52,79,83,86,84,79,76,74,7,13,13,
A. Romagnoli,Italy,68,40,56,68,85,36,30,70,75,66,55,64,86,82,9,14,9,
D. Berardi,Italy,79,80,81,85,36,77,80,79,88,81,90,83,30,30,5,6,6,
N. Tagliafico,Argentina,80,55,73,76,81,76,55,75,77,79,77,65,80,80,13,9,16,
P. Gollini,Italy,,,,,,17,14,25,24,46,56,57,12,19,82,81,82,47
N. Süle,Germany,65,42,59,51,83,34,22,69,62,48,33,77,86,82,15,7,15,
Alex Telles,Brazil,83,73,82,78,77,86,63,81,80,81,75,87,78,76,13,8,14,
Anderson Talisca,Brazil,80,83,81,83,52,75,81,82,84,84,87,84,55,42,13,11,10,
R. De Paul,Argentina,78,76,80,82,71,69,76,81,85,81,78,80,79,69,13,12,14,
Rafa,Portugal,94,73,74,86,50,78,74,62,85,93,90,75,47,39,9,11,8,
Diego Carlos,Brazil,76,47,63,68,81,35,32,74,71,77,68,73,79,81,7,10,11,
A. Rebić,Croatia,86,83,75,81,48,76,85,67,82,83,74,85,50,31,13,15,14,
C. Lenglet,France,72,45,67,66,83,55,39,74,76,73,61,58,82,80,10,10,7,
J. Maddison,England,75,78,84,84,54,81,75,82,86,78,86,83,65,42,11,14,14,
M. Locatelli,Italy,61,72,79,77,79,70,69,83,80,62,69,77,82,74,11,12,15,
M. Ødegaard,Norway,77,74,83,84,58,84,73,81,85,80,85,76,49,51,14,15,10,
Rúben Neves,Portugal,59,75,85,77,74,78,66,85,82,64,68,86,77,70,16,12,10,
Diogo Jota,Portugal,84,81,73,85,57,71,84,71,85,88,87,84,57,45,7,12,11,
J. Gomez,England,81,30,66,69,83,69,26,65,73,75,63,41,84,82,8,13,7,
Fabián,Spain,63,78,79,82,74,72,79,80,86,67,71,77,78,75,16,11,13,
C. Pulisic,United States,89,70,73,86,37,74,73,59,85,91,87,77,32,47,8,12,14,
Palhinha,Portugal,60,65,70,72,85,59,62,78,76,57,60,76,87,86,14,10,7,
D. Upamecano,France,81,43,62,68,81,48,39,72,69,70,60,60,84,90,6,7,9,
Mario Hermoso,Spain,75,49,72,71,83,71,42,77,75,73,74,65,84,81,13,8,8,
L. Bailey,Jamaica,93,78,74,84,33,74,79,66,82,93,86,79,25,18,12,13,14,
B. Chilwell,England,76,53,77,78,78,82,49,73,81,77,70,72,79,82,10,7,10,
Raphaelinho Anjos,Brazil,,,,,,10,8,16,21,41,34,58,17,13,79,84,78,41
Josué Chiamulera,Brazil,78,43,56,64,85,40,38,61,70,80,76,53,87,82,16,15,10,
Unai Simón,Spain,,,,,,16,14,37,16,46,32,57,18,12,82,77,84,47
Richarlison,Brazil,83,78,73,83,53,73,80,61,83,85,79,83,58,48,12,7,13,
C. Romero,Argentina,76,46,52,61,83,39,48,49,68,80,72,51,84,83,5,7,14,
D. Dumfries,Netherlands,80,61,66,72,78,73,64,65,74,76,68,66,79,77,10,10,14,
Raphinha,Brazil,91,76,76,84,49,78,74,70,83,90,88,81,54,38,8,7,14,
A. Isak,Sweden,84,82,68,79,29,61,83,47,82,82,79,84,21,18,7,6,11,
D. Rice,England,66,53,71,74,81,50,42,80,79,64,53,70,83,80,8,11,9,
A. Davies,Canada,96,67,71,82,75,74,67,58,79,96,85,71,77,79,11,11,14,
F. Neuhaus,Germany,64,72,79,82,66,68,70,88,84,72,80,75,67,64,6,11,15,
Y. En-Nesyri,Morocco,78,83,58,78,35,48,89,58,79,74,68,83,31,27,13,9,13,
T. Ndombele,France,71,72,81,88,69,75,70,81,87,73,84,80,74,69,8,10,7,
T. Souček,Czech Republic,64,72,74,74,82,69,73,76,77,61,66,73,82,79,11,13,8,
Éder Militão,Brazil,83,50,69,71,83,72,48,70,73,81,69,62,83,82,11,8,15,
Ferran Torres,Spain,82,79,78,82,35,77,81,78,81,87,82,79,24,28,12,9,12,
Pau Torres,Spain,71,38,67,70,84,55,28,76,79,69,69,58,84,83,11,13,9,
D. Livaković,Croatia,,,,,,13,12,56,28,57,65,56,20,21,81,78,85,56
Dani Olmo,Spain,67,76,81,86,50,78,74,79,86,77,86,79,50,44,15,15,11,
Joaquín,Spain,68,80,84,81,44,84,83,83,83,65,69,80,47,39,9,14,11,
B. Yılmaz,Turkey,79,83,69,73,34,68,83,61,74,78,72,88,29,26,14,15,12,
Nani,Portugal,70,77,81,85,37,82,73,77,86,77,85,85,22,20,5,10,6,
A. Gignac,France,68,83,73,75,41,72,85,69,78,71,66,84,41,23,10,15,11,
H. Herrera,Mexico,70,75,76,76,78,65,72,79,78,71,73,81,82,67,6,10,16,
A. Consigli,Italy,,,,,,10,10,27,23,48,57,54,17,19,81,82,83,42
S. Mandanda,France,,,,,,14,13,36,27,53,52,59,15,13,80,80,81,49
G. Higuaín,Argentina,58,84,71,78,29,68,86,63,81,57,64,85,22,18,5,12,10,
